Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"Z. Li, T. H. Kim, S. Y. Han, Y.-J. Yun, S. Jeong, B. Jo, S. A. Ok, W. Yim, S. H. Lee, K. Kim, S. Moon, J.-Y. Park, T. K. Ahn, H. Shin, J. Lee, H. J. Park, Adv. Energy Mater. 2020, 10, 1903085.",,24.1,23.9,22.1,,,,,,,,,1.42,,GaAs,"MPP, air 20–25% RH, AM1.5G, room T, UV-f",,4.76,23.3,,1.85,,,,,,,,,,FA0.80MA0.04Cs0.16Pb(I0.50Br0.50)3,
"Q. Han, Y.-T. Hsieh, L. Meng, J.-L. Wu, P. Sun, E.-P. Yao, S.-Y. Chang, S.-H. Bae, T. Kato, V. Bermudez, Y. Yang, Science 2018, 361, 904.",,22,19.9,18.4,,,,,,,,,1.1,,CIGS,"MPP, air 20% RH, 30 °C",,4.1,19.4,,1.65,,,,,,,,,,Cs0.09FA0.77MA0.14Pb(I0.86Br0.14)3,
"Y. Lei, Y. Li, C. Lu, Q. Yan, Y. Wu, F. Babbe, H. Gong, S. Zhang, J. Zhou, R. Wang, R. Zhang, Y. Chen, H. Tsai, Y. Gu, H. Hu, Y.-H. Lo, W. Nie, T. Lee, J. Luo, K. Yang, K.-I. Jang, S. Xu, Nature 2022, 608, 317.",12.4,,,,,,,,,,MAPb0.5Sn0.5Br3:Bi3+:BA2MA4Sn5I16 ,,,,,,,,,1.12,,,,72.9,17.5,,,,,,,967
"X. Zhou, L. Zhang, J. Yu, D. Wang, C. Liu, S. Chen, Y. Li, Y. Li, M. Zhang, Y. Peng, Y. Tian, J. Huang, X. Wang, X. Guo, B. Xu, Adv. Mater. 2022, 34, 2205809.",24.3,,,,,,,,,,FA0.7MA0.3Pb0.7Sn0.3I3/BTBTI:PCBM,,,,,,,,,1.18,,,,78,29.1,,,,,,,1070
"X. Zhou, L. Zhang, J. Yu, D. Wang, C. Liu, S. Chen, Y. Li, Y. Li, M. Zhang, Y. Peng, Y. Tian, J. Huang, X. Wang, X. Guo, B. Xu, Adv. Mater. 2022, 34, 2205809.",23.4,,,,,,,,,,FA0.7MA0.3Pb0.7Sn0.3I3/BTBTI:PCBM,,,,,,,,,1.18,,,,75.8,28.9,,,,,,,1067
"R. Lin, J. Xu, M. Wei, Y. Wang, Z. Qin, Z. Liu, J. Wu, K. Xiao, B. Chen, S. M. Park, G. Chen, H. R. Atapattu, K. R. Graham, J. Xu, J. Zhu, L. Li, C. Zhang, E. H. Sargent, H. Tan, Nature 2022, 603, 73.",22.2,,,,,,,,,,FA0.7MA0.3Pb0.5Sn0.5I3,,,,,,,,,1.25,,,,80,33,,,,,,,841
"G. Kapil, T. Bessho, Y. Sanehira, S. R. Sahamir, M. Chen, A. K. Baranwal, D. Liu, Y. Sono, D. Hirotani, D. Nomura, K. Nishimura, M. A. Kamarudin, Q. Shen, H. Segawa, S. Hayase, ACS Energy Lett. 2022, 7, 966.",23.3,,,,,,,,,,Cs0.025FA0.475MA0.5Pb0.5Sn0.5I2.925Br0.075,,,,,,,,,1.29,,,,80.8,32.8,,,,,,,880
"J. Sanchez-Diaz, R. S. Sánchez, S. Masi, M. Kreĉmarová, A. O. Alvarez, E. M. Barea, J. Rodriguez-Romero, V. S. Chirvony, J. F. Sánchez-Royo, J. P. Martinez-Pastor, I. Mora-Seró, Joule 2022, 6, 861.",10.1,,,,,,,,,,FASnI3 + DipI + NaBH4,,,,,,,,,1.4,,,,69.6,22.1,,,,,,,655
"Z. Zhu, X. Jiang, D. Yu, N. Yu, Z. Ning, Q. Mi, ACS Energy Lett. 2022, 7, 2079.",14.3,,,,,,,,,,FASnI3,,,,,,,,,1.42,,,,76.2,20.4,,,,,,,920
"Y. Su, J. Yang, G. Liu, W. Sheng, J. Zhang, Y. Zhong, L. Tan, Y. Chen, Adv. Funct. Mater. 2022, 32, 2109631.",12.3,,,,,,,,,,EA0.098EDA0.01FA0.882SnI3,,,,,,,,,1.44,,,,75.3,21.7,,,,,,,750
"T. Wu, X. Liu, X. Luo, H. Segawa, G. Tong, Y. Zhang, L. K. Ono, Y. Qi, L. Han, Nano-Micro Lett. 2022, 14, 99.",13.6,,,,,,,,,,FASnI3,,,,,,,,,1.45,,,,70.8,22.9,,,,,,,840
"Q. Jiang, J. Tong, Y. Xian, R. A. Kerner, S. P. Dunfield, C. Xiao, R. A. Scheidt, D. Kuciauskas, X. Wang, M. P. Hautzinger, R. Tirawat, M. C. Beard, D. P. Fenning, J. J. Berry, B. W. Larson, Y. Yan, K. Zhu, Nature 2022, 611, 278.",25.3,,,,,,,,,,Cs0.05FA0.85MA0.05Rb0.05PbBr0.15I2.85,,,,,,,,,1.52,,,,83.9,26.2,,,,,,,1150
"Q. Jiang, J. Tong, Y. Xian, R. A. Kerner, S. P. Dunfield, C. Xiao, R. A. Scheidt, D. Kuciauskas, X. Wang, M. P. Hautzinger, R. Tirawat, M. C. Beard, D. P. Fenning, J. J. Berry, B. W. Larson, Y. Yan, K. Zhu, Nature 2022, 611, 278.",24.1,,,,,,,,,,Cs0.05FA0.85MA0.05Rb0.05PbBr0.15I2.85,,,,,,,,,1.52,,,,81.4,25.4,,,,,,,1161
"Z. Xiong, X. Chen, B. Zhang, G. O. Odunmbaku, Z. Ou, B. Guo, K. Yang, Z. Kan, S. Lu, S. Chen, N. A. N. Ouedraogo, Y. Cho, C. Yang, J. Chen, K. Sun, Adv. Mater. 2022, 34, 2106118.",24,,,,,,,,,,FAxMA1-xPbI3,,,,,,,,,1.53,,,,81.7,24.9,,,,,,,1180
"F. Zhang, Y. Park So, C. Yao, H. Lu, P. Dunfield Sean, C. Xiao, S. Uličná, X. Zhao, L. Du Hill, X. Chen, X. Wang, E. Mundt Laura, H. Stone Kevin, T. Schelhas Laura, G. Teeter, S. Parkin, L. Ratcliff Erin, Y.-L. Loo, J. Berry Joseph, C. Beard Matthew, Y. Yan, W. Larson Bryon, K. Zhu, Science 2022, 375, 71.",24.5,,,,,,,,,,FA0.97MA0.03PbI2.91Br0.09,,,,,,,,,1.53,,,,83.8,25.3,,,,,,,1158
"M. Kim, J. Jeong, H. Lu, K. Lee Tae, T. Eickemeyer Felix, Y. Liu, W. Choi In, J. Choi Seung, Y. Jo, H.-B. Kim, S.-I. Mo, Y.-K. Kim, H. Lee, G. An Na, S. Cho, R. Tress Wolfgang, M. Zakeeruddin Shaik, A. Hagfeldt, Y. Kim Jin, M. Grätzel, S. Kim Dong, Science 2022, 375, 302.",25.4,,,,,,,,,,FAPbI3,,,,,,,,,1.53,,,,81.9,26.4,,,,,,,1174
"Y. Zhao, F. Ma, Z. Qu, S. Yu, T. Shen, H.-X. Deng, X. Chu, X. Peng, Y. Yuan, X. Zhang, J. You, Science 2022, 377, 531.",25.6,,,,,,,,,,FAPbI3: (PbI2)2RbCl,,,,,,,,,1.54,,,,82.6,26.2,,,,,,,1182
"Y. Li, Z. Chen, B. Yu, S. Tan, Y. Cui, H. Wu, Y. Luo, J. Shi, D. Li, Q. Meng, Joule 2022, 6, 676.",24.3,,,,,,,,,,Cs0.03FA0.97 Pb Br0.09I2.91,,,,,,,,,1.54,,,,82.6,25.7,,,,,,,1141
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, K. Bothe, D. Hinken, M. Rauer, X. Hao, Prog. Photovoltaics 2022, 30, 687.",25.7,,,,,,,,,, ,,,,,,,,,1.54,,,,84.5,25.8,,,,,,,1179
"S. Tan, T. Huang, I. Yavuz, R. Wang, T. W. Yoon, M. Xu, Q. Xing, K. Park, D.-K. Lee, C.-H. Chen, R. Zheng, T. Yoon, Y. Zhao, H.-C. Wang, D. Meng, J. Xue, Y. J. Song, X. Pan, N.-G. Park, J.-W. Lee, Y. Yang, Nature 2022, 605, 268.",24.1,,,,,,,,,,FA0.95MA0.05PbBr0.15I2.85,,,,,,,,,1.55,,,,82.3,25.3,,,,,,,1158
"Z. Shen, Q. Han, X. Luo, Y. Shen, T. Wang, C. Zhang, Y. Wang, H. Chen, X. Yang, Y. Zhang, L. Han, Energy Environ. Sci. 2022, 15, 1078.",25.1,,,,,,,,,,FA0.995MA0.005PbBr0.015I0.985,,,,,,,,,1.56,,,,84.4,24.9,,,,,,,1195
"X. Li, W. Zhang, X. Guo, C. Lu, J. Wei, J. Fang, Science 2022, 375, 434.",23,,,,,,,,,,FA0.95MA0.05PbBr0.15I2.85,,,,,,,,,1.57,,,,79.9,25.1,,,,,,,1147
"X. Wang, W. Sun, Y. Tu, Q. Xiong, G. Li, Z. Song, Y. Wang, Y. Du, Q. Chen, C. Deng, Z. Lan, P. Gao, J. Wu, Chem. Eng. J. 2022, 446, 137416.",23.4,,,,,,,,,,Cs0.05FA0.75MA0.15Rb0.05PbBr0.15I2.85,,,,,,,,,1.57,,,,80.6,25.2,,,,,,,1153
"J. Peng, F. Kremer, D. Walter, Y. Wu, Y. Ji, J. Xiang, W. Liu, T. Duong, H. Shen, T. Lu, F. Brink, D. Zhong, L. Li, O. Lee Cheong Lem, Y. Liu, K. J. Weber, T. P. White, K. R. Catchpole, Nature 2022, 601, 573.",22.9,,,,,,,,,,Cs0.05FA0.9MA0.05PbBr0.26I2.74,,,,,,,,,1.58,,,,80,23.4,,,,,,,1173
"Y. Zhang, N.-G. Park, ACS Energy Lett. 2022, 7, 757.",21.9,,,,,,,,,,GA(MA)5Pb5I16,,,,,,,,,1.6,,,,80.6,22.8,,,,,,,1192
"S. Wang, Y. Li, J. Yang, T. Wang, B. Yang, Q. Cao, X. Pu, L. Etgar, J. Han, J. Zhao, X. Li, A. Hagfeldt, Angew. Chem., Int. Ed. 2022, 61, 202116534.",22.4,,,,,,,,,,Cs0.05MA0.1425FA0.8075PbBr0.45I2.55,,,,,,,,,1.64,,,,83.8,23.7,,,,,,,1130
"G. Yang, Z. Ni, Z. J. Yu, B. W. Larson, Z. Yu, B. Chen, A. Alasfour, X. Xiao, J. M. Luther, Z. C. Holman, J. Huang, Nat. Photonics 2022, 16, 588.",21.9,,,,,,,,,,Cs0.1FA0.2MA0.7PbBr0.45I0.2.55,,,,,,,,,1.65,,,,84,21.2,,,,,,,1230
"S. Tan, B. Yu, Y. Cui, F. Meng, C. Huang, Y. Li, Z. Chen, H. Wu, J. Shi, Y. Luo, D. Li, Q. Meng, Angew. Chem., Int. Ed. 2022, 61, 202201300.",20.2,,,,,,,,,,CsPbI3,,,,,,,,,1.7,,,,82.5,20.8,,,,,,,1176
"S. Tan, B. Yu, Y. Cui, F. Meng, C. Huang, Y. Li, Z. Chen, H. Wu, J. Shi, Y. Luo, D. Li, Q. Meng, Angew. Chem., Int. Ed. 2022, 61, 202201300.",20.1,,,,,,,,,,CsPbI3,,,,,,,,,1.7,,,,82.8,20.6,,,,,,,1177
"M. A. Mahmud, J. Zheng, S. Tang, G. Wang, J. Bing, A. D. Bui, J. Qu, L. Yang, C. Liao, H. Chen, S. P. Bremner, H. T. Nguyen, J. Cairney, A. W. Y. Ho-Baillie, Adv. Energy Mater. 2022, 12, 2201672.",20.2,,,,,,,,,,Cs0.2FA0.8PbBr0.9I2.1,,,,,,,,,1.74,,,,86.5,19.3,,,,,,,1210
"R. Lin, J. Xu, M. Wei, Y. Wang, Z. Qin, Z. Liu, J. Wu, K. Xiao, B. Chen, S. M. Park, G. Chen, H. R. Atapattu, K. R. Graham, J. Xu, J. Zhu, L. Li, C. Zhang, E. H. Sargent, H. Tan, Nature 2022, 603, 73.",17.3,,,,,,,,,,Cs0.2FA0.8PbBr1.14I1.86,,,,,,,,,1.78,,,,81.2,17.4,,,,,,,1227
"J. Wen, Y. Zhao, Z. Liu, H. Gao, R. Lin, S. Wan, C. Ji, K. Xiao, Y. Gao, Y. Tian, J. Xie, C. J. Brabec, H. Tan, Adv. Mater. 2022, 34, 2110356.",17.7,,,,,,,,,,Cs0.4DMA0.1FA0.5PbBr0.71Cl0.15I2.14,,,,,,,,,1.79,,,,81.1,17.4,,,,,,,1255
"K. Xiao, Y.-H. Lin, M. Zhang, R. D. J. Oliver, X. Wang, Z. Liu, X. Luo, J. Li, D. Lai, H. Luo, R. Lin, J. Xu, Y. Hou, H. J. Snaith, H. Tan, Science 2022, 376, 762.",17.2,,,,,,,,,,Cs0.35FA0.65PbBr1.2I1.8,,,,,,,,,1.82,,,,80.9,16.8,,,,,,,1266
"S. Qin, C. Lu, Z. Jia, Y. Wang, S. Li, W. Lai, P. Shi, R. Wang, C. Zhu, J. Du, J. Zhang, L. Meng, Y. Li, Adv. Mater. 2022, 34, 2108829.",16.9,,,,,,,,,,FA0.6MA0.4PbBr1.2I1.8,,,,,,,,,1.83,,,,80.7,16.9,,,,,,,1240
"Z. Guo, A. K. Jena, I. Takei, M. Ikegami, A. Ishii, Y. Numata, N. Shibayama, T. Miyasaka, Adv. Funct. Mater. 2021, 31, 2103614.",17.4,,,,,,,,,,CsPbBrI2,,,,,,,,,1.88,,,,81.4,15,,,,,,,1420
"W. Chen, D. Li, X. Chen, H. Chen, S. Liu, H. Yang, X. Li, Y. Shen, X. Ou, Y. Yang, L. Jiang, Y. Li, Y. Li, Adv. Funct. Mater. 2022, 32, 2109321.",13.4,,,,,,,,,,CsPbI1.8Br1.2,,,,,,,,,1.94,,,,76,14.2,,,,,,,1240
"H. Xu, Z. Liang, J. Ye, S. Xu, Z. Wang, L. Zhu, X. Chen, Z. Xiao, X. Pan, G. Liu, Chem. Eng. J. 2022, 437, 135181.",8.9,,,,,,,,,,FAPbBr3,,,,,,,,,2.2,,,,70.6,7.7,,,,,,,1639
"X. Li, Y. Tan, H. Lai, S. Li, Y. Chen, S. Li, P. Xu, J. Yang, ACS Appl. Mater. Interfaces 2019, 11, 29746.",10.5,,,,,,,,,,CsPbBr3,,,,,,,,,2.28,,,,83,8.3,,,,,,,1520
"H. Zhu, L. Pan, F. T. Eickemeyer, M. A. Hope, O. Ouellette, A. Q. M. Alanazi, J. Gao, T. P. Baumeler, X. Li, S. Wang, S. M. Zakeeruddin, Y. Liu, L. Emsley, M. Grätzel, ACS Energy Lett. 2022, 7, 1112.",10.2,,,,,,,,,,MAPbBr3,,,,,,,,,2.29,,,,71.1,8.7,,,,,,,1650
"X. Yao, B. He, J. Zhu, J. Ti, L. Cui, R. Tui, M. Wei, H. Chen, J. Duan, Y. Duan, Q. Tang, Nano Energy 2022, 96, 107138.",10.7,,,,,,,,,,CsPbBr3,,,,,,,,,2.34,,,,84.1,7.8,,,,,,,1635
"J. Zhu, Y. Liu, B. He, W. Zhang, L. Cui, S. Wang, H. Chen, Y. Duan, Q. Tang, Chem. Eng. J. 2022, 428, 131950.",10.2,,,,,,,,,,CsPbBr3,,,,,,,,,2.35,,,,81,7.8,,,,,,,1611
"H. Yuan, Y. Zhao, J. Duan, Y. Wang, X. Yang, Q. Tang, J. Mater. Chem. A 2018, 6, 24324.",10.3,,,,,,,,,,CsPb0.97Tb0.03Br3,,,,,,,,,2.36,,,,79.6,8.2,,,,,,,1570
"B. Li, X. Wu, S. Zhang, Z. Li, D. Gao, X. Chen, S. Xiao, C.-C. Chueh, A. K. Y. Jen, Z. Zhu, Chem. Eng. J. 2022, 446, 137144.",3.3,,,,,,,,,,Cs2AgBiBr6,,,,,,,,,2.47,,,,77.5,3.3,,,,,,,1278
"W. Liu, S. Sun, S. Xu, H. Zhang, Y. Zheng, Z. Wei, X. Zhu, Adv. Mater. 2022, 34, 2200337.",13.4,,,,,,,BTB7-Th:ATT-9,,,,,,,,,,,,1.22,,,,67.1,30,,,,,,,663
"Z. Liu, H.-E. Wang, Sustainable Energy Fuels 2022, 6, 744.",13,,,,,,,BTR:Y6:bisPC71BM,,,,,,,,,,,,1.32,,,,70.1,20.2,,,,,,,916
"Z. Liu, N. Wang, Sol. Energy 2021, 214, 110.",13.9,,,,,,,BTR:MeIC:Y11,,,,,,,,,,,,1.33,,,,71.4,22.4,,,,,,,865
"Y. Pan, X. Zheng, J. Guo, Z. Chen, S. Li, C. He, S. Ye, X. Xia, S. Wang, X. Lu, H. Zhu, J. Min, L. Zuo, M. Shi, H. Chen, Adv. Funct. Mater. 2022, 32, 2108614.",18.2,,,,,,,PM6:BTP-T-3Cl:BTP-4Cl-BO,,,,,,,,,,,,1.38,,,,77.6,27.4,,,,,,,857
"L. Zhan, S. Li, Y. Li, R. Sun, J. Min, Z. Bi, W. Ma, Z. Chen, G. Zhou, H. Zhu, M. Shi, L. Zuo, H. Chen, Joule 2022, 6, 662.",18.8,,,,,,,PM6:BTP-eC9:BTP-S9,,,,,,,,,,,,1.38,,,,79.4,27.5,,,,,,,861
"Y. Cai, Y. Li, R. Wang, H. Wu, Z. Chen, J. Zhang, Z. Ma, X. Hao, Y. Zhao, C. Zhang, F. Huang, Y. Sun, Adv. Mater. 2021, 33, 2101733.",18.7,,,,,,,PM6:BTP-eC9:L8-BO-F,,,,,,,,,,,,1.38,,,,80,27.4,,,,,,,853
"Y. Cai, Y. Li, R. Wang, H. Wu, Z. Chen, J. Zhang, Z. Ma, X. Hao, Y. Zhao, C. Zhang, F. Huang, Y. Sun, Adv. Mater. 2021, 33, 2101733.",18.2,,,,,,,PM6:BTP-eC9:L8-BO-F,,,,,,,,,,,,1.38,,,,78.8,27.3,,,,,,,847
"L. Zhan, S. Li, Y. Li, R. Sun, J. Min, Z. Bi, W. Ma, Z. Chen, G. Zhou, H. Zhu, M. Shi, L. Zuo, H. Chen, Joule 2022, 6, 662.",18.7,,,,,,,PM6:BTP-eC9:BTP-S9,,,,,,,,,,,,1.38,,,,79.3,27.4,,,,,,,862
"D. Wang, G. Zhou, Y. Li, K. Yan, L. Zhan, H. Zhu, X. Lu, H. Chen, C.-Z. Li, Adv. Funct. Mater. 2022, 32, 2107827.",18.1,,,,,,,PM6:Y6-1O:BO-4Cl,,,,,,,,,,,,1.39,,,,77.5,27.5,,,,,,,848
"D. Wang, G. Zhou, Y. Li, K. Yan, L. Zhan, H. Zhu, X. Lu, H. Chen, C.-Z. Li, Adv. Funct. Mater. 2022, 32, 2107827.",18.5,,,,,,,PM6:Y6-1O:BO-4Cl,,,,,,,,,,,,1.39,,,,78.9,27.5,,,,,,,855
"T. Zhang, C. An, Y. Cui, J. Zhang, P. Bi, C. Yang, S. Zhang, J. Hou, Adv. Mater. 2022, 34, 2105803.",18.4,,,,,,,PB2:PBDB-TF:BTP-eC9,,,,,,,,,,,,1.39,,,,79.7,26.9,,,,,,,858
"L. Zuo, S. B. Jo, Y. Li, Y. Meng, R. J. Stoddard, Y. Liu, F. Lin, X. Shi, F. Liu, H. W. Hillhouse, D. S. Ginger, H. Chen, A. K. Y. Jen, Nat. Nanotechnol. 2022, 17, 53.",18.3,,,,,,,PM6:BTP-eC11:BTP-S2,,,,,,,,,,,,1.39,,,,78.9,26.6,,,,,,,872
"X. Duan, W. Song, J. Qiao, X. Li, Y. Cai, H. Wu, J. Zhang, X. Hao, Z. Tang, Z. Ge, F. Huang, Y. Sun, Energy Environ. Sci. 2022, 15, 1563.",18.2,,,,,,,PM6:BTP-eC9:ZY-4Cl,,,,,,,,,,,,1.39,,,,77.9,27.1,,,,,,,863
"X. Duan, W. Song, J. Qiao, X. Li, Y. Cai, H. Wu, J. Zhang, X. Hao, Z. Tang, Z. Ge, F. Huang, Y. Sun, Energy Environ. Sci. 2022, 15, 1563.",18.7,,,,,,,PM6:BTP-eC9:ZY-4Cl,,,,,,,,,,,,1.39,,,,79,27.4,,,,,,,863
"S. Guan, Y. Li, K. Yan, W. Fu, L. Zuo, H. Chen, Adv. Mater. 2022, 34, 2205844.",19.1,,,,,,,PBDB-TF:L8-BO:BTP-eC9,,,,,,,,,,,,1.4,,,,79.9,27.5,,,,,,,869
"S. Guan, Y. Li, K. Yan, W. Fu, L. Zuo, H. Chen, Adv. Mater. 2022, 34, 2205844.",19.4,,,,,,,PBDB-TF:L8-BO:BTP-eC9,,,,,,,,,,,,1.4,,,,81.2,27.6,,,,,,,863
"C. He, Z. Bi, Z. Chen, J. Guo, X. Xia, X. Lu, J. Min, H. Zhu, W. Ma, L. Zuo, H. Chen, Adv. Funct. Mater. 2022, 32, 2112511.",18.1,,,,,,,PM6:AC9,,,,,,,,,,,,1.4,,,,78,26.8,,,,,,,867
"W. Feng, S. Wu, H. Chen, L. Meng, F. Huang, H. Liang, J. Zhang, Z. Wei, X. Wan, C. Li, Z. Yao, Y. Chen, Adv. Energy Mater. 2022, 12, 2104060.",18.1,,,,,,,PM6:CNS-6-8:Y6:PC71BM,,,,,,,,,,,,1.4,,,,78.8,26.4,,,,,,,868
"C. He, Z. Bi, Z. Chen, J. Guo, X. Xia, X. Lu, J. Min, H. Zhu, W. Ma, L. Zuo, H. Chen, Adv. Funct. Mater. 2022, 32, 2112511.",18.4,,,,,,,PM6:AC9,,,,,,,,,,,,1.4,,,,79.1,26.8,,,,,,,871
"B. Fan, W. Gao, X. Wu, X. Xia, Y. Wu, F. R. Lin, Q. Fan, X. Lu, W. J. Li, W. Ma, A. K. Y. Jen, Nat. Commun. 2022, 13, 5946.",18.3,,,,,,,PTzBI-dF:BTP-TBr,,,,,,,,,,,,1.4,,,,78.8,27.5,,,,,,,845
"R. Yu, X. Wei, G. Wu, T. Zhang, Y. Gong, B. Zhao, J. Hou, C. Yang, Z. Tan, Energy Environ. Sci. 2022, 15, 822.",18.1,,,,,,,PM6:PB2F:BTP-eC9,,,,,,,,,,,,1.41,,,,79.4,26.5,,,,,,,860
"Y. Cui, Y. Xu, H. Yao, P. Bi, L. Hong, J. Zhang, Y. Zu, T. Zhang, J. Qin, J. Ren, Z. Chen, C. He, X. Hao, Z. Wei, J. Hou, Adv. Mater. 2021, 33, 2102420.",19,,,,,,,PBQx-TF:eC9-2Cl:F-BTA3,,,,,,,,,,,,1.41,,,,81,26.7,,,,,,,879
"Y. Cui, Y. Xu, H. Yao, P. Bi, L. Hong, J. Zhang, Y. Zu, T. Zhang, J. Qin, J. Ren, Z. Chen, C. He, X. Hao, Z. Wei, J. Hou, Adv. Mater. 2021, 33, 2102420.",18.7,,,,,,,PBQx-TF:eC9-2Cl:F-BTA3,,,,,,,,,,,,1.41,,,,79.4,26.8,,,,,,,878
"J. Zhang, F. Bai, I. Angunawela, X. Xu, S. Luo, C. Li, G. Chai, H. Yu, Y. Chen, H. Hu, Z. Ma, H. Ade, H. Yan, Adv. Energy Mater. 2021, 11, 2102596.",18.2,,,,,,,PBDB-T-2F:BTP-4F-P2EH,,,,,,,,,,,,1.43,,,,80.1,25.9,,,,,,,880
"J. Song, L. Zhu, C. Li, J. Xu, H. Wu, X. Zhang, Y. Zhang, Z. Tang, F. Liu, Y. Sun, Matter 2021, 4, 2542.",18.6,,,,,,,PM6:L8-BO,,,,,,,,,,,,1.44,,,,80,26,,,,,,,893
"J. Song, L. Zhu, C. Li, J. Xu, H. Wu, X. Zhang, Y. Zhang, Z. Tang, F. Liu, Y. Sun, Matter 2021, 4, 2542.",18.2,,,,,,,PM6:L8-BO,,,,,,,,,,,,1.44,,,,79,26.1,,,,,,,883
"L. Zhu, M. Zhang, J. Xu, C. Li, J. Yan, G. Zhou, W. Zhong, T. Hao, J. Song, X. Xue, Z. Zhou, R. Zeng, H. Zhu, C.-C. Chen, R. C. I. MacKenzie, Y. Zou, J. Nelson, Y. Zhang, Y. Sun, F. Liu, Nat. Mater. 2022, 21, 656.",19.6,,,,,,,PM6:D18:L8-BO,,,,,,,,,,,,1.45,,,,81.9,26.7,,,,,,,896
"Y. Wei, Z. Chen, G. Lu, N. Yu, C. Li, J. Gao, X. Gu, X. Hao, G. Lu, Z. Tang, J. Zhang, Z. Wei, X. Zhang, H. Huang, Adv. Mater. 2022, 34, 2204718.",19.1,,,,,,,D18:L8-BO,,,,,,,,,,,,1.45,,,,77.3,26.9,,,,,,,918
"L. Zhu, M. Zhang, J. Xu, C. Li, J. Yan, G. Zhou, W. Zhong, T. Hao, J. Song, X. Xue, Z. Zhou, R. Zeng, H. Zhu, C.-C. Chen, R. C. I. MacKenzie, Y. Zou, J. Nelson, Y. Zhang, Y. Sun, F. Liu, Nat. Mater. 2022, 21, 656.",19.2,,,,,,,PM6:D18:L8-BO,,,,,,,,,,,,1.45,,,,80.7,26.7,,,,,,,891
"Y. Li, J. Song, Y. Dong, H. Jin, J. Xin, S. Wang, Y. Cai, L. Jiang, W. Ma, Z. Tang, Y. Sun, Adv. Mater. 2022, 34, 2110155.",16.8,,,,,,,PM6:PY-DT,,,,,,,,,,,,1.46,,,,74.4,23.7,,,,,,,949
"S. Mathew, A. Yella, P. Gao, R. Humphry-Baker, B. F. E. Curchod, N. Ashari-Astani, I. Tavernelli, U. Rothlisberger, M. K. Nazeeruddin, M. Grätzel, Nat. Chem. 2014, 6, 242.",13,,,,,,,,,,,,,,,,,,,1.66,,,,78,18.1,,,,SM315,,,910
"S. Mathew, A. Yella, P. Gao, R. Humphry-Baker, B. F. E. Curchod, N. Ashari-Astani, I. Tavernelli, U. Rothlisberger, M. K. Nazeeruddin, M. Grätzel, Nat. Chem. 2014, 6, 242.",12,,,,,,,,,,,,,,,,,,,1.76,,,,79,15.9,,,,SM371,,,960
"P.-H. Chang, M. C. Sil, K. S. K. Reddy, C.-H. Lin, C.-M. Chen, ACS Appl. Mater. Interfaces 2022, 14, 25466.",9.9,,,,,,,,,,,,,,,,,,,1.79,,,,70.5,19,,,,PI-COF:N719,,,740
"A. K. Bharwal, L. Manceriu, C. Olivier, A. Mahmoud, C. Iojoiu, T. Toupance, C. M. Ruiz, M. Pasquinelli, D. Duché, J.-J. Simon, C. Henrist, F. Alloin, Chem. Eng. J. 2022, 446, 136777.",8.5,,,,,,,,,,,,,,,,,,,1.81,,,,62.6,19.4,,,,N719,,,700
"Y. Ren, D. Zhang, J. Suo, Y. Cao, F. T. Eickemeyer, N. Vlachopoulos, S. M. Zakeeruddin, A. Hagfeldt, M. Grätzel, Nature 2022, https://doi.org/10.1038/s41586-022-05460-z.",15.2,,,,,,,,,,,,,,,,,,,1.83,,,,79.4,18,,,,SL9 + SL10/BPHA,,,1063
"C. Liao, H. Wu, H. Tang, L. Wang, D. Cao, Sol. Energy 2022, 240, 399.",4.1,,,,,,,,,,,,,,,,,,,2.15,,,,73.6,8.76,,,,PS1,,,640
"M. A. Green, E. D. Dunlop, J. Hohl-Ebinger, M. Yoshita, N. Kopidakis, K. Bothe, D. Hinken, M. Rauer, X. Hao, Prog. Photovoltaics 2022, 30, 687.",13.6,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.1,,,,69.9,36.2,,,,,,,538
"J. Wang, J. Zhou, X. Xu, F. Meng, C. Xiang, L. Lou, K. Yin, B. Duan, H. Wu, J. Shi, Y. Luo, D. Li, H. Xin, Q. Meng, Adv. Mater. 2022, 34, 2202858.",13.1,,,,,,,,,"Cu2ZnSn(S,Se)4",,,,,,,,,,1.11,,,,70,34.3,,,,,,,547
